year,round,pick,team_name,player_name,position,season_points
2021,1,1,King Of The North,Patrick Mahomes,QB,375.0
2021,1,2,Walk wit a Waddle,Christian McCaffrey,RB,127.5
2021,1,3,Front Gate Dragon,Alvin Kamara,RB,216.5
2021,1,4,Homer Romer Angel Baby Patrick,Dalvin Cook,RB,197.1
2021,1,5,Maurice Clarett’s Potential,Davante Adams,WR,332.8
2021,1,6,Welitapay-anudadae,Derrick Henry,RB,195.27
2021,1,7,Big Daddy D,Josh Allen,QB,418.95
2021,1,8,Taysoms Hills Ep 2,Nick Chubb,RB,208.3
2021,1,9,OBtoshi Nakamoto,Lamar Jackson,QB,252.77
2021,1,10,Michael's Neat Team,Kyler Murray,QB,305.73
2021,2,11,Michael's Neat Team,Ezekiel Elliott,RB,242.03
2021,2,12,OBtoshi Nakamoto,Travis Kelce,TE,249.4
2021,2,13,Taysoms Hills Ep 2,Russell Wilson,QB,243.64
2021,2,14,Big Daddy D,Aaron Jones Sr.,RB,229.0
2021,2,15,Welitapay-anudadae,Dak Prescott,QB,325.05
2021,2,16,Maurice Clarett’s Potential,Jonathan Taylor,RB,360.6
2021,2,17,Homer Romer Angel Baby Patrick,Tyreek Hill,WR,295.3
2021,2,18,Front Gate Dragon,Austin Ekeler,RB,314.9
2021,2,19,Walk wit a Waddle,Aaron Rodgers,QB,362.55
2021,2,20,King Of The North,Tom Brady,QB,396.42
2021,3,21,King Of The North,Stefon Diggs,WR,262.4
2021,3,22,Walk wit a Waddle,Justin Herbert,QB,392.48
2021,3,23,Front Gate Dragon,DeAndre Hopkins,WR,147.2
2021,3,24,Homer Romer Angel Baby Patrick,Saquon Barkley,RB,140.7
2021,3,25,Maurice Clarett’s Potential,Matthew Stafford,QB,357.24
2021,3,26,Welitapay-anudadae,DK Metcalf,WR,233.5
2021,3,27,Big Daddy D,Calvin Ridley,WR,71.1
2021,3,28,Taysoms Hills Ep 2,Darren Waller,TE,129.3
2021,3,29,OBtoshi Nakamoto,Najee Harris,RB,291.2
2021,3,30,Michael's Neat Team,Jalen Hurts,QB,322.99
2021,4,31,Michael's Neat Team,Allen Robinson,WR,80.8
2021,4,32,OBtoshi Nakamoto,Joe Mixon,RB,287.9
2021,4,33,Taysoms Hills Ep 2,Tyler Lockett,WR,214.4
2021,4,34,Big Daddy D,Antonio Gibson,RB,207.0
2021,4,35,Welitapay-anudadae,Chris Godwin,WR,242.4
2021,4,36,Maurice Clarett’s Potential,Terry McLaurin,WR,200.2
2021,4,37,Homer Romer Angel Baby Patrick,Ryan Tannehill,QB,252.12
2021,4,38,Front Gate Dragon,Keenan Allen,WR,246.6
2021,4,39,Walk wit a Waddle,Clyde Edwards-Helaire,RB,117.6
2021,4,40,King Of The North,David Montgomery,RB,185.10000000000002
2021,5,41,King Of The North,Kareem Hunt,RB,110.0
2021,5,42,Walk wit a Waddle,Justin Jefferson,WR,308.07
2021,5,43,Front Gate Dragon,George Kittle,TE,192.0
2021,5,44,Homer Romer Angel Baby Patrick,A.J. Brown,WR,164.1
2021,5,45,Maurice Clarett’s Potential,Cooper Kupp,WR,412.9
2021,5,46,Welitapay-anudadae,Joe Burrow,QB,351.49
2021,5,47,Big Daddy D,Chris Carson,RB,48.1
2021,5,48,Taysoms Hills Ep 2,James Robinson,RB,173.9
2021,5,49,OBtoshi Nakamoto,Baker Mayfield,QB,194.84
2021,5,50,Michael's Neat Team,Mike Evans,WR,235.6
2021,6,51,Michael's Neat Team,Unknown Player,Unknown,0.0
2021,6,52,OBtoshi Nakamoto,Miles Sanders,RB,117.2
2021,6,53,Taysoms Hills Ep 2,CeeDee Lamb,WR,226.3
2021,6,54,Big Daddy D,Mark Andrews,TE,284.6
2021,6,55,Welitapay-anudadae,D'Andre Swift,RB,194.29999999999998
2021,6,56,Maurice Clarett’s Potential,Josh Jacobs,RB,203.6
2021,6,57,Homer Romer Angel Baby Patrick,Trevor Lawrence,QB,177.62
2021,6,58,Front Gate Dragon,Diontae Johnson,WR,262.3
2021,6,59,Walk wit a Waddle,Robert Woods,WR,137.2
2021,6,60,King Of The North,Kyle Pitts Sr.,TE,173.8
2021,7,61,King Of The North,Odell Beckham Jr.,WR,125.3
2021,7,62,Walk wit a Waddle,Javonte Williams,RB,196.5
2021,7,63,Front Gate Dragon,Ben Roethlisberger,QB,225.43
2021,7,64,Homer Romer Angel Baby Patrick,Darrell Henderson Jr.,RB,163.4
2021,7,65,Maurice Clarett’s Potential,Kirk Cousins,QB,311.96
2021,7,66,Welitapay-anudadae,Amari Cooper,WR,189.6
2021,7,67,Big Daddy D,Matt Ryan,QB,225.07
2021,7,68,Taysoms Hills Ep 2,Julio Jones,WR,63.6
2021,7,69,OBtoshi Nakamoto,Adam Thielen,WR,199.8
2021,7,70,Michael's Neat Team,Tee Higgins,WR,219.1
2021,8,71,Michael's Neat Team,Mike Davis,RB,136.4
2021,8,72,OBtoshi Nakamoto,DJ Moore,WR,220.5
2021,8,73,Taysoms Hills Ep 2,Derek Carr,QB,252.85
2021,8,74,Big Daddy D,T.J. Hockenson,TE,145.3
2021,8,75,Welitapay-anudadae,Myles Gaskin,RB,169.6
2021,8,76,Maurice Clarett’s Potential,Brandon Aiyuk,WR,153.6
2021,8,77,Homer Romer Angel Baby Patrick,Chase Claypool,WR,148.6
2021,8,78,Front Gate Dragon,Tua Tagovailoa,QB,181.79
2021,8,79,Walk wit a Waddle,Ja'Marr Chase,WR,300.0
2021,8,80,King Of The North,Damien Harris,RB,192.8
2021,9,81,King Of The North,Jerry Jeudy,WR,80.0
2021,9,82,Walk wit a Waddle,JuJu Smith-Schuster,WR,34.8
2021,9,83,Front Gate Dragon,Justin Fields,QB,128.32999999999998
2021,9,84,Homer Romer Angel Baby Patrick,Logan Thomas,TE,53.6
2021,9,85,Maurice Clarett’s Potential,Chase Edmonds,RB,143.3
2021,9,86,Welitapay-anudadae,Devin Singletary,RB,172.6
2021,9,87,Big Daddy D,Robbie Chosen,WR,120.5
2021,9,88,Taysoms Hills Ep 2,Jameis Winston,QB,137.6
2021,9,89,OBtoshi Nakamoto,Corey Davis,WR,105.2
2021,9,90,Michael's Neat Team,Robert Tonyan,TE,50.4
2021,10,91,Michael's Neat Team,Trey Sermon,RB,28.3
2021,10,92,OBtoshi Nakamoto,Raheem Mostert,RB,2.0
2021,10,93,Taysoms Hills Ep 2,Jarvis Landry,WR,113.5
2021,10,94,Big Daddy D,Michael Thomas,WR,0.0
2021,10,95,Welitapay-anudadae,Michael Pittman Jr.,WR,218.2
2021,10,96,Maurice Clarett’s Potential,Melvin Gordon III,RB,178.5
2021,10,97,Homer Romer Angel Baby Patrick,Ryan Fitzpatrick,QB,0.63
2021,10,98,Front Gate Dragon,Tyler Boyd,WR,183.53
2021,10,99,Walk wit a Waddle,Ronald Jones,RB,79.2
2021,10,100,King Of The North,Giovani Bernard,RB,59.1
2021,11,101,King Of The North,Mecole Hardman,WR,121.60000000000001
2021,11,102,Walk wit a Waddle,Jaylen Waddle,WR,232.1
2021,11,103,Front Gate Dragon,Trey Lance,QB,70.89999999999999
2021,11,104,Homer Romer Angel Baby Patrick,James Conner,RB,230.4
2021,11,105,Maurice Clarett’s Potential,Tyrell Williams,WR,3.4
2021,11,106,Welitapay-anudadae,Daniel Jones,QB,171.35
2021,11,107,Big Daddy D,Carson Wentz,QB,276.4
2021,11,108,Taysoms Hills Ep 2,Deshaun Watson,QB,0.0
2021,11,109,OBtoshi Nakamoto,Antonio Brown,WR,121.1
2021,11,110,Michael's Neat Team,Kenny Golladay,WR,83.9
2021,12,111,Michael's Neat Team,Courtland Sutton,WR,147.29999999999998
2021,12,112,OBtoshi Nakamoto,Nyheim Miller-Hines,RB,108.7
2021,12,113,Taysoms Hills Ep 2,A.J. Green,WR,150.5
2021,12,114,Big Daddy D,Los Angeles,DEF,114.0
2021,12,115,Welitapay-anudadae,Tyler Higbee,TE,123.5
2021,12,116,Maurice Clarett’s Potential,Noah Fant,TE,156.4
2021,12,117,Homer Romer Angel Baby Patrick,Deebo Samuel,WR,310.0
2021,12,118,Front Gate Dragon,Washington,DEF,78.0
2021,12,119,Walk wit a Waddle,Rob Gronkowski,TE,150.5
2021,12,120,King Of The North,Sam Darnold,QB,141.22
2021,13,121,King Of The North,Tampa Bay,DEF,134.0
2021,13,122,Walk wit a Waddle,Jared Goff,QB,190.94
2021,13,123,Front Gate Dragon,Justin Tucker,K,154.0
2021,13,124,Homer Romer Angel Baby Patrick,Harrison Butker,K,130.0
2021,13,125,Maurice Clarett’s Potential,Jimmy Garoppolo,QB,229.48000000000002
2021,13,126,Welitapay-anudadae,Brandin Cooks,WR,226.2
2021,13,127,Big Daddy D,Hollywood Brown,WR,220.6
2021,13,128,Taysoms Hills Ep 2,Mark Ingram II,RB,108.60000000000001
2021,13,129,OBtoshi Nakamoto,Zach Wilson,QB,142.99
2021,13,130,Michael's Neat Team,Pittsburgh,DEF,98.0
2021,14,131,Michael's Neat Team,Younghoe Koo,K,114.0
2021,14,132,OBtoshi Nakamoto,Rodrigo Blankenship,K,45.0
2021,14,133,Taysoms Hills Ep 2,Cleveland,DEF,96.0
2021,14,134,Big Daddy D,Tyler Bass,K,133.0
2021,14,135,Welitapay-anudadae,Ryan Succop,K,126.0
2021,14,136,Maurice Clarett’s Potential,Unknown Player,Unknown,0.0
2021,14,137,Homer Romer Angel Baby Patrick,San Francisco,DEF,109.0
2021,14,138,Front Gate Dragon,DeVonta Smith,WR,178.5
2021,14,139,Walk wit a Waddle,Mike Williams,WR,219.7
2021,14,140,King Of The North,Jason Sanders,K,105.0
2021,15,141,King Of The North,Dallas Goedert,TE,165.0
2021,15,142,Walk wit a Waddle,Indianapolis,DEF,137.0
2021,15,143,Front Gate Dragon,Sony Michel,RB,140.4
2021,15,144,Homer Romer Angel Baby Patrick,Mike Gesicki,TE,160.8
2021,15,145,Maurice Clarett’s Potential,Unknown Player,Unknown,0.0
2021,15,146,Welitapay-anudadae,Baltimore,DEF,81.0
2021,15,147,Big Daddy D,A.J. Dillon,RB,177.9
2021,15,148,Taysoms Hills Ep 2,Greg Zuerlein,K,130.0
2021,15,149,OBtoshi Nakamoto,Kansas City,DEF,122.0
2021,15,150,Michael's Neat Team,Gerald Everett,TE,114.8
2021,16,151,Michael's Neat Team,Leonard Fournette,RB,255.6
2021,16,152,OBtoshi Nakamoto,Henry Ruggs III,WR,84.5
2021,16,153,Taysoms Hills Ep 2,Curtis Samuel,WR,9.8
2021,16,154,Big Daddy D,Jakobi Meyers,WR,177.0
2021,16,155,Welitapay-anudadae,Mac Jones,QB,232.49
2021,16,156,Maurice Clarett’s Potential,Tyrod Taylor,QB,85.31
2021,16,157,Homer Romer Angel Baby Patrick,Denver,DEF,117.0
2021,16,158,Front Gate Dragon,Michael Carter,RB,152.5
2021,16,159,Walk wit a Waddle,Matt Gay,K,152.0
2021,16,160,King Of The North,Teddy Bridgewater,QB,218.33
2022,1,1,Sportins Squad,Jonathan Taylor,RB,146.4
2022,1,2,OBtoshi Nakamoto,Josh Allen,QB,397.47
2022,1,3,The Deshaun Rub Down,Justin Herbert,QB,263.78
2022,1,4,Welitapay-anudadae,Christian McCaffrey,RB,341.12
2022,1,5,Nuk Nuk… Who’s There?,Patrick Mahomes,QB,431.94
2022,1,6,Lord of Lakengren,Najee Harris,RB,209.42000000000002
2022,1,7,Bridge under Teddy Water,Cooper Kupp,WR,201.4
2022,1,8,Michael's Neat Team,Ja'Marr Chase,WR,219.8
2022,1,9,Front Gate Dragon,Lamar Jackson,QB,247.66
2022,1,10,King Of The North,Joe Burrow,QB,364.5
2022,2,11,King Of The North,Austin Ekeler,RB,363.7
2022,2,12,Front Gate Dragon,Kyler Murray,QB,204.84
2022,2,13,Michael's Neat Team,Jalen Hurts,QB,378.86
2022,2,14,Bridge under Teddy Water,Justin Jefferson,WR,360.52
2022,2,15,Lord of Lakengren,Tom Brady,QB,266.2
2022,2,16,Nuk Nuk… Who’s There?,Joe Mixon,RB,221.70000000000002
2022,2,17,Welitapay-anudadae,Davante Adams,WR,323.2
2022,2,18,The Deshaun Rub Down,Dalvin Cook,RB,235.1
2022,2,19,OBtoshi Nakamoto,Nick Chubb,RB,258.2
2022,2,20,Sportins Squad,Aaron Rodgers,QB,243.1
2022,3,21,Sportins Squad,Alvin Kamara,RB,199.7
2022,3,22,OBtoshi Nakamoto,Dak Prescott,QB,206.56
2022,3,23,The Deshaun Rub Down,Travis Kelce,TE,306.5
2022,3,24,Welitapay-anudadae,Russell Wilson,QB,196.23
2022,3,25,Nuk Nuk… Who’s There?,Matthew Stafford,QB,107.50999999999999
2022,3,26,Lord of Lakengren,Javonte Williams,RB,42.0
2022,3,27,Bridge under Teddy Water,Deebo Samuel,WR,164.0
2022,3,28,Michael's Neat Team,D'Andre Swift,RB,175.5
2022,3,29,Front Gate Dragon,Saquon Barkley,RB,284.0
2022,3,30,King Of The North,Aaron Jones Sr.,RB,240.8
2022,4,31,King Of The North,Stefon Diggs,WR,293.2
2022,4,32,Front Gate Dragon,Mark Andrews,TE,190.5
2022,4,33,Michael's Neat Team,CeeDee Lamb,WR,285.4
2022,4,34,Bridge under Teddy Water,Leonard Fournette,RB,224.70000000000002
2022,4,35,Lord of Lakengren,Michael Pittman Jr.,WR,204.5
2022,4,36,Nuk Nuk… Who’s There?,Tyreek Hill,WR,342.9
2022,4,37,Welitapay-anudadae,Derek Carr,QB,231.86
2022,4,38,The Deshaun Rub Down,Trey Lance,QB,10.52
2022,4,39,OBtoshi Nakamoto,Keenan Allen,WR,133.8
2022,4,40,Sportins Squad,Darren Waller,TE,79.3
2022,5,41,Sportins Squad,James Conner,RB,200.2
2022,5,42,OBtoshi Nakamoto,George Kittle,TE,181.6
2022,5,43,The Deshaun Rub Down,Mike Evans,WR,225.4
2022,5,44,Welitapay-anudadae,A.J. Brown,WR,286.1
2022,5,45,Nuk Nuk… Who’s There?,Ezekiel Elliott,RB,184.8
2022,5,46,Lord of Lakengren,JuJu Smith-Schuster,WR,179.8
2022,5,47,Bridge under Teddy Water,Kyle Pitts Sr.,TE,75.6
2022,5,48,Michael's Neat Team,Josh Jacobs,RB,321.3
2022,5,49,Front Gate Dragon,Travis Etienne Jr.,RB,199.70000000000002
2022,5,50,King Of The North,Kirk Cousins,QB,291.36
2022,6,51,King Of The North,Tee Higgins,WR,219.2
2022,6,52,Front Gate Dragon,Courtland Sutton,WR,147.1
2022,6,53,Michael's Neat Team,T.J. Hockenson,TE,212.8
2022,6,54,Bridge under Teddy Water,Cam Akers,RB,125.5
2022,6,55,Lord of Lakengren,Ryan Tannehill,QB,161.88
2022,6,56,Nuk Nuk… Who’s There?,Mike Williams,WR,169.3
2022,6,57,Welitapay-anudadae,DK Metcalf,WR,219.8
2022,6,58,The Deshaun Rub Down,DJ Moore,WR,197.10000000000002
2022,6,59,OBtoshi Nakamoto,J.K. Dobbins,RB,81.2
2022,6,60,Sportins Squad,Jerry Jeudy,WR,179.9
2022,7,61,Sportins Squad,Terry McLaurin,WR,212.6
2022,7,62,OBtoshi Nakamoto,Breece Hall,RB,115.10000000000001
2022,7,63,The Deshaun Rub Down,Chase Edmonds,RB,69.7
2022,7,64,Welitapay-anudadae,Clyde Edwards-Helaire,RB,98.3
2022,7,65,Nuk Nuk… Who’s There?,David Montgomery,RB,175.6
2022,7,66,Lord of Lakengren,Zach Wilson,QB,94.04
2022,7,67,Bridge under Teddy Water,Diontae Johnson,WR,172.9
2022,7,68,Michael's Neat Team,Trevor Lawrence,QB,294.43
2022,7,69,Front Gate Dragon,Amon-Ra St. Brown,WR,256.7
2022,7,70,King Of The North,Allen Robinson,WR,84.9
2022,8,71,King Of The North,Elijah Mitchell,RB,26.1
2022,8,72,Front Gate Dragon,Hollywood Brown,WR,154.3
2022,8,73,Michael's Neat Team,A.J. Dillon,RB,164.3
2022,8,74,Bridge under Teddy Water,Tua Tagovailoa,QB,245.44
2022,8,75,Lord of Lakengren,Hunter Renfrow,WR,59.7
2022,8,76,Nuk Nuk… Who’s There?,Michael Thomas,WR,51.1
2022,8,77,Welitapay-anudadae,Gabe Davis,WR,164.7
2022,8,78,The Deshaun Rub Down,Elijah Moore,WR,86.0
2022,8,79,OBtoshi Nakamoto,Jaylen Waddle,WR,248.9
2022,8,80,Sportins Squad,Justin Fields,QB,307.56
2022,9,81,Sportins Squad,Allen Lazard,WR,160.70000000000002
2022,9,82,OBtoshi Nakamoto,Brandin Cooks,WR,124.0
2022,9,83,The Deshaun Rub Down,Jameis Winston,QB,43.34
2022,9,84,Welitapay-anudadae,Dalton Schultz,TE,135.4
2022,9,85,Nuk Nuk… Who’s There?,DeAndre Hopkins,WR,151.7
2022,9,86,Lord of Lakengren,Darnell Mooney,WR,101.5
2022,9,87,Bridge under Teddy Water,Rondale Moore,WR,87.89999999999999
2022,9,88,Michael's Neat Team,Chris Godwin,WR,213.3
2022,9,89,Front Gate Dragon,Rashod Bateman,WR,53.5
2022,9,90,King Of The North,Dallas Goedert,TE,130.6
2022,10,91,King Of The North,Adam Thielen,WR,170.79999999999998
2022,10,92,Front Gate Dragon,Kareem Hunt,RB,121.0
2022,10,93,Michael's Neat Team,Dameon Pierce,RB,166.4
2022,10,94,Bridge under Teddy Water,Matt Ryan,QB,152.71
2022,10,95,Lord of Lakengren,Jared Goff,QB,290.72
2022,10,96,Nuk Nuk… Who’s There?,Tony Pollard,RB,246.9
2022,10,97,Welitapay-anudadae,Miles Sanders,RB,213.4
2022,10,98,The Deshaun Rub Down,Antonio Gibson,RB,165.9
2022,10,99,OBtoshi Nakamoto,Darrell Henderson Jr.,RB,73.5
2022,10,100,Sportins Squad,Cordarrelle Patterson,RB,144.8
2022,11,101,Sportins Squad,Rashaad Penny,RB,52.2
2022,11,102,OBtoshi Nakamoto,Amari Cooper,WR,238.9
2022,11,103,The Deshaun Rub Down,Deshaun Watson,QB,69.25999999999999
2022,11,104,Welitapay-anudadae,Zach Ertz,TE,115.60000000000001
2022,11,105,Nuk Nuk… Who’s There?,Devin Singletary,RB,175.7
2022,11,106,Lord of Lakengren,Albert Okwuegbunam,TE,25.5
2022,11,107,Bridge under Teddy Water,Marquez Valdes-Scantling,WR,116.7
2022,11,108,Michael's Neat Team,Mac Jones,QB,148.32
2022,11,109,Front Gate Dragon,Christian Kirk,WR,220.0
2022,11,110,King Of The North,Baker Mayfield,QB,115.78
2022,12,111,King Of The North,Drake London,WR,160.6
2022,12,112,Front Gate Dragon,Rhamondre Stevenson,RB,235.9
2022,12,113,Michael's Neat Team,Daniel Carlson,K,153.0
2022,12,114,Bridge under Teddy Water,Nyheim Miller-Hines,RB,69.4
2022,12,115,Lord of Lakengren,Rachaad White,RB,137.6
2022,12,116,Nuk Nuk… Who’s There?,Brandon Aiyuk,WR,217.9
2022,12,117,Welitapay-anudadae,Melvin Gordon III,RB,87.1
2022,12,118,The Deshaun Rub Down,DeVonta Smith,WR,240.9
2022,12,119,OBtoshi Nakamoto,Chase Claypool,WR,102.13
2022,12,120,Sportins Squad,Carson Wentz,QB,117.25
2022,13,121,Sportins Squad,Tyler Lockett,WR,221.9
2022,13,122,OBtoshi Nakamoto,Los Angeles,DEF,96.0
2022,13,123,The Deshaun Rub Down,Justin Tucker,K,152.0
2022,13,124,Welitapay-anudadae,Unknown Player,Unknown,0.0
2022,13,125,Nuk Nuk… Who’s There?,Dawson Knox,TE,126.4
2022,13,126,Lord of Lakengren,Tampa Bay,DEF,101.0
2022,13,127,Bridge under Teddy Water,Evan McPherson,K,122.0
2022,13,128,Michael's Neat Team,Buffalo,DEF,129.0
2022,13,129,Front Gate Dragon,James Cook,RB,98.6
2022,13,130,King Of The North,Pat Freiermuth,TE,148.2
2022,14,131,King Of The North,Harrison Butker,K,94.0
2022,14,132,Front Gate Dragon,Brian Robinson Jr.,RB,112.7
2022,14,133,Michael's Neat Team,Tyler Boyd,WR,156.79
2022,14,134,Bridge under Teddy Water,Indianapolis,DEF,103.0
2022,14,135,Lord of Lakengren,DeVante Parker,WR,77.0
2022,14,136,Nuk Nuk… Who’s There?,James Robinson,RB,88.6
2022,14,137,Welitapay-anudadae,Isaiah McKenzie,WR,115.9
2022,14,138,The Deshaun Rub Down,Alexander Mattison,RB,69.4
2022,14,139,OBtoshi Nakamoto,Chuba Hubbard,RB,80.8
2022,14,140,Sportins Squad,Robert Woods,WR,107.7
2022,15,141,Sportins Squad,Matt Gay,K,122.0
2022,15,142,OBtoshi Nakamoto,Daniel Jones,QB,286.95
2022,15,143,The Deshaun Rub Down,San Francisco,DEF,149.0
2022,15,144,Welitapay-anudadae,Kadarius Toney,WR,44.9
2022,15,145,Nuk Nuk… Who’s There?,New England,DEF,182.0
2022,15,146,Lord of Lakengren,Brandon McManus,K,128.0
2022,15,147,Bridge under Teddy Water,Unknown Player,Unknown,0.0
2022,15,148,Michael's Neat Team,Michael Carter,RB,123.5
2022,15,149,Front Gate Dragon,Green Bay,DEF,115.0
2022,15,150,King Of The North,Chris Olave,WR,183.20000000000002
2022,16,151,King Of The North,Cleveland,DEF,108.0
