Player,Pos,Pos Rank,ESPN,Sleeper,NFL,RTSPORTS,AVG Draft Position,year
Ja'Marr Chase,WR,WR1,1,1,1,1,1,2025
Saquon Barkley,RB,RB1,3,2,2,4,2.8,2025
Bijan Robinson,RB,RB2,2,4,5,2,3,2025
Justin Jefferson,WR,WR2,4,3,4,6,4.6,2025
Jahmyr Gibbs,RB,RB3,5,5,6,3,4.6,2025
CeeDee Lamb,WR,WR3,6,7,3,5,5.2,2025
Amon-Ra St. Brown,WR,WR4,8,6,9,11,8.8,2025
Puka Nacua,WR,WR5,9,8,7,10,9.2,2025
Christian McCaffrey,RB,RB4,7,14,12,7,9.4,2025
Ashton Jeanty,RB,RB5,10,11,11,8,9.6,2025
Malik Nabers,WR,WR6,11,9,10,9,9.6,2025
Derrick Henry,RB,RB6,13,10,8,13,11.6,2025
De'Von Achane,RB,RB7,12,16,13,12,12.8,2025
Nico Collins,WR,WR7,14,12,16,16,14.2,2025
Brian Thomas Jr.,WR,WR8,16,13,14,15,14.6,2025
Josh Jacobs,RB,RB8,18,20,17,14,17.4,2025
A.J. Brown,WR,WR9,15,18,15,23,17.4,2025
Brock Bowers,TE,TE1,19,15,18,21,18.6,2025
Drake London,WR,WR10,22,17,20,20,19.2,2025
Jonathan Taylor,RB,RB9,17,25,22,19,20.4,2025
Bucky Irving,RB,RB10,23,19,25,17,21.2,2025
Lamar Jackson,QB,QB1,21,24,19,26,23,2025
Josh Allen,QB,QB2,20,21,21,28,23.8,2025
Kyren Williams,RB,RB11,26,28,24,22,24.2,2025
Ladd McConkey,WR,WR11,30,22,23,27,25,2025
Trey McBride,TE,TE2,24,23,26,29,26,2025
Chase Brown,RB,RB12,33,29,34,18,27.6,2025
Tyreek Hill,WR,WR12,27,27,37,25,28.6,2025
Tee Higgins,WR,WR13,28,30,31,38,30.6,2025
Jayden Daniels,QB,QB3,25,31,28,33,30.8,2025
James Cook,RB,RB13,32,35,29,30,31.6,2025
Jaxon Smith-Njigba,WR,WR14,36,26,39,32,32.6,2025
Breece Hall,RB,RB14,49,34,30,24,34,2025
Garrett Wilson,WR,WR15,39,32,36,36,34.8,2025
Joe Burrow,QB,QB4,31,40,35,41,36.6,2025
Terry McLaurin,WR,WR16,40,33,27,43,37.2,2025
George Kittle,TE,TE3,34,38,38,42,37.4,2025
Davante Adams,WR,WR17,35,42,41,37,37.8,2025
Jalen Hurts,QB,QB5,29,39,33,45,38,2025
Alvin Kamara,RB,RB15,37,43,46,31,39.2,2025
Kenneth Walker III,RB,RB16,38,45,42,35,39.6,2025
Mike Evans,WR,WR18,43,37,32,48,40.2,2025
Marvin Harrison Jr.,WR,WR19,42,36,43,40,40.2,2025
Omarion Hampton,RB,RB17,47,44,50,34,44.8,2025
Chuba Hubbard,RB,RB18,45,47,52,39,45.6,2025
Rashee Rice,WR,WR20,58,41,40,55,47.2,2025
James Conner,RB,RB19,48,52,49,46,48.4,2025
DJ Moore,WR,WR21,54,46,48,47,49.2,2025
Joe Mixon,RB,RB20,51,49,47,52,49.4,2025
DK Metcalf,WR,WR22,44,48,58,54,50.8,2025
Sam LaPorta,TE,TE4,41,50,44,62,51.6,2025
Courtland Sutton,WR,WR23,59,51,55,51,53.6,2025
Patrick Mahomes II,QB,QB6,46,59,45,65,54.4,2025
DeVonta Smith,WR,WR24,62,53,53,59,56.4,2025
Xavier Worthy,WR,WR25,50,55,67,66,56.8,2025
D'Andre Swift,RB,RB21,55,77,61,44,58.2,2025
David Montgomery,RB,RB22,60,56,64,58,59.2,2025
Zay Flowers,WR,WR26,56,54,69,64,61,2025
RJ Harvey,RB,RB23,77,60,70,49,61.8,2025
TreVeyon Henderson,RB,RB24,73,65,66,50,62,2025
T.J. Hockenson,TE,TE5,53,57,51,74,62,2025
Jameson Williams,WR,WR27,65,58,54,67,62,2025
Travis Hunter,WR,WR28,61,62,59,73,63,2025
Travis Kelce,TE,TE6,57,68,57,68,64,2025
Aaron Jones Sr.,RB,RB25,66,69,74,57,65,2025
Baker Mayfield,QB,QB7,52,72,60,77,66.8,2025
Isiah Pacheco,RB,RB26,74,64,62,61,67.4,2025
George Pickens,WR,WR29,63,61,77,71,67.8,2025
Tetairoa McMillan,WR,WR30,75,63,78,56,68.2,2025
Calvin Ridley,WR,WR31,64,75,71,63,68.8,2025
Kaleb Johnson,RB,RB27,72,80,80,53,70,2025
Tony Pollard,RB,RB28,87,76,82,60,73.8,2025
Jerry Jeudy,WR,WR32,69,73,101,69,75,2025
Jaylen Waddle,WR,WR33,67,66,87,78,75.4,2025
Bo Nix,QB,QB8,68,78,65,88,76.4,2025
Mark Andrews,TE,TE7,71,81,56,95,77.4,2025
Chris Godwin,WR,WR34,90,74,84,72,77.6,2025
Chris Olave,WR,WR35,89,67,86,75,79.8,2025
Jordan Addison,WR,WR36,91,71,90,86,82.4,2025
Brian Robinson Jr.,RB,RB29,92,85,91,76,83.2,2025
Rome Odunze,WR,WR37,76,79,93,90,85.2,2025
Evan Engram,TE,TE8,80,89,75,89,87,2025
