Player,Pos,Pos,ESPN,Sleeper,NFL,RTSPORTS,AVG Draft Position,year
Jonathan Taylor,RB,RB1,1,1,1,1,1,2022
Christian McCaffrey,RB,RB2,2,2,2,2,2,2022
Austin Ekeler,RB,RB3,4,4,4,3,3.8,2022
Cooper Kupp,WR,WR1,3,5,3,5,4,2022
Derrick Henry,RB,RB4,5,3,5,8,5.3,2022
Justin Jefferson,WR,WR2,6,6,6,4,5.5,2022
Dalvin Cook,RB,RB5,9,7,7,7,7.5,2022
Najee Harris,RB,RB6,8,8,10,6,8,2022
Ja'Marr Chase,WR,WR3,7,9,8,9,8.3,2022
Joe Mixon,RB,RB7,12,10,9,10,10.3,2022
Davante Adams,WR,WR4,11,12,11,15,12.3,2022
Stefon Diggs,WR,WR5,13,11,12,14,12.5,2022
Alvin Kamara,RB,RB8,10,15,16,12,13.3,2022
Travis Kelce,TE,TE1,17,13,13,17,15,2022
D'Andre Swift,RB,RB9,15,14,22,11,15.5,2022
Deebo Samuel,WR,WR6,14,21,14,19,17,2022
Aaron Jones,RB,RB10,21,18,17,22,19.5,2022
CeeDee Lamb,WR,WR7,19,17,21,21,19.5,2022
Tyreek Hill,WR,WR8,16,20,20,23,19.8,2022
Nick Chubb,RB,RB11,28,16,18,18,20,2022
Saquon Barkley,RB,RB12,26,19,23,13,20.3,2022
Josh Allen,QB,QB1,22,22,15,24,20.8,2022
Mark Andrews,TE,TE2,20,23,19,25,21.8,2022
Leonard Fournette,RB,RB13,18,25,25,20,22,2022
Javonte Williams,RB,RB14,23,24,28,16,22.8,2022
Mike Evans,WR,WR9,27,26,26,28,26.8,2022
Keenan Allen,WR,WR10,24,27,29,33,28.3,2022
James Conner,RB,RB15,25,30,36,26,29.3,2022
Patrick Mahomes,QB,QB2,29,32,24,34,29.8,2022
Ezekiel Elliott,RB,RB16,38,29,27,27,30.3,2022
A.J. Brown,WR,WR11,34,28,32,29,30.8,2022
Kyle Pitts,TE,TE3,35,31,33,32,32.8,2022
Michael Pittman,WR,WR12,31,35,38,30,33.5,2022
Tee Higgins,WR,WR13,30,33,35,37,33.8,2022
Justin Herbert,QB,QB3,36,34,30,38,34.5,2022
David Montgomery,RB,RB17,40,40,31,35,36.5,2022
Cam Akers,RB,RB18,33,37,53,36,39.8,2022
George Kittle,TE,TE4,41,36,34,48,39.8,2022
Travis Etienne,RB,RB19,45,39,47,31,40.5,2022
Terry McLaurin,WR,WR14,37,38,42,47,41,2022
Lamar Jackson,QB,QB4,42,43,37,52,43.5,2022
DJ Moore,WR,WR15,32,42,60,41,43.8,2022
Diontae Johnson,WR,WR16,43,45,41,46,43.8,2022
Darren Waller,TE,TE5,47,41,40,51,44.8,2022
Mike Williams,WR,WR17,39,50,51,44,46,2022
Jaylen Waddle,WR,WR18,44,44,44,57,47.3,2022
DK Metcalf,WR,WR19,46,48,39,60,48.3,2022
Josh Jacobs,RB,RB20,54,49,45,50,49.5,2022
Elijah Mitchell,RB,RB21,62,58,48,40,52,2022
J.K. Dobbins,RB,RB22,55,54,50,49,52,2022
Breece Hall,RB,RB23,48,46,70,45,52.3,2022
Kyler Murray,QB,QB5,52,53,43,67,53.8,2022
Jalen Hurts,QB,QB6,56,62,49,54,55.3,2022
Brandin Cooks,WR,WR20,49,61,55,59,56,2022
Dalton Schultz,TE,TE6,57,55,54,63,57.3,2022
Courtland Sutton,WR,WR21,51,47,92,42,58,2022
Joe Burrow,QB,QB7,74,52,46,69,60.3,2022
Marquise Brown,WR,WR22,53,60,69,64,61.5,2022
Chris Godwin,WR,WR23,59,65,57,66,61.8,2022
Allen Robinson,WR,WR24,69,57,63,62,62.8,2022
Amon-Ra St.,WR,WR25,58,68,75,53,63.5,2022
Clyde Edwards-Helaire,RB,RB24,60,67,59,70,64,2022
Antonio Gibson,RB,RB25,84,56,58,61,64.8,2022
Jerry Jeudy,WR,WR26,50,51,79,83,65.8,2022
T.J. Hockenson,TE,TE7,67,64,56,76,65.8,2022
Gabe Davis,WR,WR27,61,75,77,56,67.3,2022
A.J. Dillon,RB,RB26,97,63,68,43,67.8,2022
Amari Cooper,WR,WR28,70,59,64,78,67.8,2022
Dallas Goedert,TE,TE8,79,71,52,80,70.5,2022
Tom Brady,QB,QB8,64,74,66,84,72,2022
Adam Thielen,WR,WR29,73,70,78,72,73.3,2022
Darnell Mooney,WR,WR30,63,73,100,58,73.5,2022
JuJu Smith-Schuster,WR,WR31,65,69,88,75,74.3,2022
Russell Wilson,QB,QB9,77,72,74,87,77.5,2022
Michael Thomas,WR,WR32,71,66,109,74,80,2022
Aaron Rodgers,QB,QB10,68,90,61,102,80.3,2022
Dak Prescott,QB,QB11,75,91,72,90,82,2022
Devin Singletary,RB,RB27,66,89,102,73,82.5,2022
Hunter Renfrow,WR,WR33,72,82,84,95,83.3,2022
DeAndre Hopkins,WR,WR34,98,77,73,85,83.3,2022
Dameon Pierce,RB,RB28,78,96,121,39,83.5,2022
Damien Harris,RB,RB29,89,79,81,86,83.8,2022
Miles Sanders,RB,RB30,76,78,103,81,84.5,2022
Kareem Hunt,RB,RB31,81,80,101,79,85.3,2022
Cordarrelle Patterson,RB,RB32,92,81,93,77,85.8,2022
Tony Pollard,RB,RB33,95,84,94,71,86,2022
Chase Edmonds,RB,RB34,94,87,111,55,86.8,2022
Rashaad Penny,RB,RB35,106,95,82,65,87,2022
Rashod Bateman,WR,WR35,83,76,113,82,88.5,2022
Zach Ertz,TE,TE9,86,83,85,101,88.8,2022
Dawson Knox,TE,TE10,101,85,71,103,90,2022
Elijah Moore,WR,WR36,91,92,89,88,90,2022
DeVonta Smith,WR,WR37,85,86,98,92,90.3,2022
Buffalo Bills,DS,DST1,80,94,65,129,92,2022
Matthew Stafford,QB,QB12,87,100,76,105,92,2022
Tyler Lockett,WR,WR38,90,99,83,114,96.5,2022
Brandon Aiyuk,WR,WR39,103,98,97,94,98,2022
Drake London,WR,WR40,96,88,110,100,98.5,2022
Rhamondre Stevenson,RB,RB36,93,101,138,68,100,2022
Christian Kirk,WR,WR41,82,105,125,89,100.3,2022
Trey Lance,QB,QB13,104,107,86,109,101.5,2022
Robert Woods,WR,WR42,110,110,99,93,103,2022
Allen Lazard,WR,WR43,99,93,135,91,104.5,2022
Justin Tucker,K1,K1,88,132,62,140,105.5,2022
Melvin Gordon,RB,RB37,117,109,107,97,107.5,2022
Pat Freiermuth,TE,TE11,108,104,114,108,108.5,2022
Chris Olave,WR,WR44,109,102,126,106,110.8,2022
Tampa Bay,DS,DST2,107,112,96,134,112.3,2022
Derek Carr,QB,QB14,114,115,112,112,113.3,2022
Kenneth Walker,RB,RB38,132,97,137,98,116,2022
Chase Claypool,WR,WR45,111,114,118,122,116.3,2022
James Robinson,RB,RB39,122,123,124,99,117,2022
Michael Carter,RB,RB40,124,119,115,110,117,2022
San Francisco,DS,DST3,121,121,91,142,118.8,2022
Kadarius Toney,WR,WR46,112,117,128,119,119,2022
James Cook,RB,RB41,128,103,153,96,120,2022
Cole Kmet,TE,TE12,115,116,143,113,121.8,2022
Indianapolis Colts,DS,DST4,136,147,67,144,123.5,2022
Kirk Cousins,QB,QB15,125,130,131,115,125.3,2022
George Pickens,WR,WR47,146,111,147,107,127.8,2022
Los Angeles,DS,DST5,161,106,87,162,129,2022
Harrison Butker,K2,K2,116,134,95,171,129,2022
Evan McPherson,K3,K3,102,133,127,154,129,2022
Mike Gesicki,TE,TE13,129,113,122,152,129,2022
Hunter Henry,TE,TE14,118,141,136,126,130.3,2022
Treylon Burks,WR,WR48,143,108,159,117,131.8,2022
Daniel Carlson,K4,K4,127,135,119,148,132.3,2022
Darrell Henderson,RB,RB42,156,126,144,104,132.5,2022
Tyler Bass,K5,K5,144,138,90,159,132.8,2022
Alexander Mattison,RB,RB43,154,124,142,120,135,2022
New Orleans,DS,DST6,105,144,123,169,135.3,2022
Matt Gay,K6,K6,113,136,134,160,135.8,2022
Tyler Boyd,WR,WR49,126,128,166,131,137.8,2022
Garrett Wilson,WR,WR50,120,120,157,155,138,2022
Dallas Cowboys,DS,DST7,130,139,108,178,138.8,2022
Michael Gallup,WR,WR51,140,143,149,125,139.3,2022
Nyheim Miller-Hines,RB,RB44,131,127,188,116,140.5,2022
Tua Tagovailoa,QB,QB16,135,149,141,137,140.5,2022
Green Bay,DS,DST8,100,146,130,194,142.5,2022
Skyy Moore,WR,WR52,137,122,185,127,142.8,2022
Julio Jones,WR,WR53,160,118,154,143,143.8,2022
Raheem Mostert,RB,RB45,134,182,145,118,144.8,2022
Russell Gage,WR,WR54,139,165,133,145,145.5,2022
Kenneth Gainwell,RB,RB46,170,142,164,111,146.8,2022
DJ Chark,WR,WR55,145,170,140,135,147.5,2022
Justin Fields,QB,QB17,149,158,146,139,148,2022
Los Angeles,DS,DST9,150,129,120,196,148.8,2022
Marquez Valdes-Scantling,WR,WR56,123,137,172,163,148.8,2022
Matt Prater,K7,K7,157,145,116,186,151,2022
Brian Robinson,RB,RB47,165,156,158,136,153.8,2022
Trevor Lawrence,QB,QB18,142,168,169,141,155,2022
Tyler Higbee,TE,TE15,152,148,129,192,155.3,2022
Jarvis Landry,WR,WR57,148,140,195,146,157.3,2022
Baltimore Ravens,DS,DST10,119,125,171,224,159.8,2022
DeVante Parker,WR,WR58,167,150,163,166,161.5,2022
David Njoku,TE,TE16,155,155,181,156,161.8,2022
Jakobi Meyers,WR,WR59,133,172,206,138,162.3,2022
Noah Fant,TE,TE17,153,191,160,153,164.3,2022
J.D. McKissic,RB,RB48,163,171,204,123,165.3,2022
New England,DS,DST11,181,181,105,197,166,2022
Jameis Winston,QB,QB19,166,164,186,149,166.3,2022
Younghoe Koo,K8,K8,179,152,80,255,166.5,2022
Mecole Hardman,WR,WR60,182,186,139,168,168.8,2022
Denver Broncos,DS,DST12,184,157,165,170,169,2022
Miami Dolphins,DS,DST13,158,220,104,195,169.3,2022
Albert Okwuegbunam,TE,TE18,190,131,184,172,169.3,2022
Jamaal Williams,RB,RB49,168,177,205,130,170,2022
Nick Folk,K9,K9,141,166,132,249,172,2022
Matt Ryan,QB,QB20,171,187,170,161,172.3,2022
